# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
09/02/2025 00:00:00,Class A,211824000,54.639138,14.186795,Engaged in fishing,,6.8,206.6,203,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class B,219019441,91.000000,0.000000,Unknown value,,,,,Unknown,Unknown,AARSLEFF 109,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,352003005,57.267997,11.527768,Under way using engine,0.0,13.8,155.4,154,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,538007841,55.615010,10.791992,Under way using engine,2.9,11.0,159.4,160,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,538007841,55.615010,10.791992,Under way using engine,2.9,11.0,159.4,160,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Base Station,2190064,56.716565,11.519058,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class B,219019441,91.000000,0.000000,Unknown value,,,,,Unknown,Unknown,AARSLEFF 109,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,220076000,56.127743,12.308835,Unknown value,0.0,0.0,328.9,151,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,352003005,57.267997,11.527768,Under way using engine,0.0,13.8,155.4,154,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,538007841,55.615010,10.791992,Under way using engine,2.9,11.0,159.4,160,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,352003005,57.267997,11.527768,Under way using engine,0.0,13.8,155.4,154,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,538007841,55.615010,10.791992,Under way using engine,2.9,11.0,159.4,160,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,219005659,57.494370,10.501888,Engaged in fishing,,0.0,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Base Station,2194006,55.538870,5.033200,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,Surveyed,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,331100197,57.594212,9.980118,Engaged in fishing,0.0,0.0,357.7,111,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,331100197,57.594212,9.980118,Engaged in fishing,0.0,0.0,357.7,111,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,244710825,57.593125,9.955935,Engaged in fishing,,0.0,0.0,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Base Station,2190064,56.716565,11.519058,Unknown value,,,,,Unknown,Unknown,,Undefined,,,,GPS,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,230642000,54.765123,12.769632,Under way using engine,0.0,17.3,63.0,66,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,AtoN,992111851,54.441613,7.678910,Unknown value,,,,,Unknown,Unknown,NSO 0 PLATFORM,Undefined,,,,GPS,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,219002416,56.153693,10.217247,Under way using engine,0.0,0.0,244.7,218,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265568080,56.427760,12.625258,Under way using engine,0.0,0.0,211.4,59,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class B,219019441,91.000000,0.000000,Unknown value,,,,,Unknown,OU9118,AARSLEFF 109,Diving,,16,84,Undefined,,Unknown,,AIS,76,8,4,12
09/02/2025 00:00:00,Class A,265031000,54.494545,12.267170,Under way using engine,0.0,11.2,18.8,19,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,232046826,54.709678,15.386328,Under way using engine,0.0,15.7,262.0,261,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265754450,55.993298,12.744422,Under way using engine,0.0,0.0,290.4,68,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,AtoN,992651028,56.888067,12.474000,Unknown value,,,,,Unknown,Unknown,FALKENBERG 2,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,AtoN,992651028,56.888067,12.474000,Unknown value,,,,,Unknown,Unknown,FALKENBERG 2,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,354711000,54.488777,11.486227,Under way using engine,0.0,17.2,120.4,120,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,354711000,54.488777,11.486227,Under way using engine,0.0,17.2,120.4,120,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,354711000,54.488777,11.486227,Under way using engine,0.0,17.2,120.4,120,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,219849000,56.358333,10.999332,Power-driven vessel pushing ahead or towing alongside,0.0,4.1,173.0,180,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265522220,57.699153,11.667327,Unknown value,0.0,0.0,242.2,64,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,219849000,56.358333,10.999332,Power-driven vessel pushing ahead or towing alongside,0.0,4.1,173.0,180,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265504690,56.044865,12.688203,Under way using engine,0.0,0.0,248.7,67,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,211227550,54.421917,11.190700,Unknown value,0.0,0.0,156.1,206,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265504690,56.044865,12.688203,Under way using engine,0.0,0.0,248.7,67,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265039000,54.983823,11.005963,Under way using engine,0.0,16.1,228.8,228,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,219000873,56.990908,10.304598,Under way using engine,,0.0,67.3,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265039000,54.983823,11.005963,Under way using engine,0.0,16.1,228.8,228,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265039000,54.983823,11.005963,Under way using engine,0.0,16.1,228.8,228,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265039000,54.983823,11.005963,Under way using engine,0.0,16.1,228.8,228,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,265610950,55.613595,12.997627,Under way using engine,0.0,0.1,352.5,237,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,219005887,56.764260,8.864335,Engaged in fishing,,0.0,291.7,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,219005887,56.764260,8.864335,Engaged in fishing,,0.0,291.7,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class A,219003141,55.721053,11.708692,Under way using engine,0.0,0.0,65.8,219,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
09/02/2025 00:00:00,Class B,219002874,54.983113,12.281557,Unknown value,,0.0,,,Unknown,Unknown,,Undefined,,,,Undefined,,Unknown,,AIS,,,,
